MeSH Disease Term	PubMed occurrence
Mental Retardation	16842
Gastrointestinal Hemorrhage	16416
Neoplasm Recurrence, Local	16302
Glioma	15897
Hypersensitivity	15835
Atrial Fibrillation	15779
Pneumonia	15737
Fractures, Bone	15485
Helicobacter Infections	15366
Calcinosis	15359
Psychotic Disorders	15313
Heart Defects, Congenital	15181
Spinal Cord Injuries	14977
Common Cold	14819
Angina Pectoris	14713
Pulmonary Embolism	14625
Urinary Tract Infections	14472
Hepatitis	14331
Colitis, Ulcerative	14233
Fetal Diseases	14185
Rectal Neoplasms	14051
Cysts	13974
Hepatitis B	13961
Glomerulonephritis	13815
Gallstones	13762
Glaucoma	13611
Leukemia, Myeloid	13417
Respiratory Tract Infections	13392
Anemia	13275
Infection	13195
Hypertension, Pulmonary	13068
Mouth Neoplasms	13002
Horse Diseases	12999
Infant, Newborn, Diseases	12972
Arterial Occlusive Diseases	12967
Precursor Cell Lymphoblastic Leukemia-Lymphoma	12946
Respiratory Insufficiency	12928
Gastrointestinal Diseases	12903
Toxemia	12831
Malaria	12709
Leukemia, Lymphoid	12551
Testicular Neoplasms	12480
Cardiomyopathies	12321
Hyperthyroidism	12285
Streptococcal Infections	12253
Sarcoidosis	12242
Carcinoma, Renal Cell	12220
Pre-Eclampsia	12118
Hypothyroidism	12116
Peptic Ulcer	11997
Osteoarthritis	11913
Migraine Disorders	11890
Hyperlipidemias	11745
Cerebral Hemorrhage	11643
Arthritis	11628
Neuroblastoma	11594
Down Syndrome	11507
Attention Deficit Disorder with Hyperactivity	11428
Precancerous Conditions	11413
Pituitary Neoplasms	11363
Neoplasms, Multiple Primary	11289
Infertility, Female	11287
Amyloidosis	11208
Foreign Bodies	11184
Muscular Diseases	11160
Peripheral Nervous System Diseases	11139
Lung Diseases, Obstructive	11033
Laryngeal Neoplasms	10973
Intestinal Obstruction	10943
Stress Disorders, Post-Traumatic	10934
Heart Arrest	10894
Pulmonary Disease, Chronic Obstructive	10883
Pregnancy Complications, Infectious	10840
Cytomegalovirus Infections	10749
Vascular Diseases	10742
Cataract	10719
Stomach Ulcer	10664
Hemophilia A	10650
Cholelithiasis	10641
Hypercholesterolemia	10608
Anemia, Sickle Cell	10525
Duodenal Ulcer	10489
Hepatitis C, Chronic	10391
Shock, Septic	10382
Intracranial Aneurysm	10349
Scleroderma, Diffuse	10329
Cat Diseases	10326
Poultry Diseases	10315
Anxiety Disorders	10290
Ventricular Dysfunction, Left	10263
Gastroesophageal Reflux	10255
Peritonitis	10239
Periodontal Diseases	10199
Swine Diseases	10180
AIDS-Related Opportunistic Infections	10128
Scleroderma, Systemic	10075
Depressive Disorder, Major	10060
Infertility, Male	10026
Adrenal Gland Neoplasms	10004
Cross Infection	9949
Sarcoma	9945
Neovascularization, Pathologic	9944
Leprosy	9904
Thrombophlebitis	9890
Wounds, Nonpenetrating	9881
Thrombocytopenia	9856
Mammary Neoplasms, Experimental	9854
Abscess	9835
Carcinoma, Small Cell	9832
Autistic Disorder	9815
Soft Tissue Neoplasms	9794
Cell Transformation, Neoplastic	9725
Uremia	9723
Endometriosis	9684
Malocclusion	9678
Sheep Diseases	9626
Rheumatic Diseases	9598
Pain, Postoperative	9578
Carcinoma, Transitional Cell	9558
Celiac Disease	9534
Candidiasis	9527
Hypoglycemia	9526
Heart Block	9466
Dental Caries	9448
Ischemic Attack, Transient	9388
Influenza, Human	9330
Deafness	9265
Cardiomegaly	9251
Vision Disorders	9229
Angiolymphoid Hyperplasia with Eosinophilia	9216
Carotid Artery Diseases	9185
Respiratory Distress Syndrome, Adult	9183
Endocarditis, Bacterial	9178
Idiopathic Pulmonary Fibrosis	9130
Granuloma	9089
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	9061
Drug Hypersensitivity	8973
Bronchitis	8938
Venous Thrombosis	8915
Diabetic Nephropathies	8875
Osteomyelitis	8849
Pulmonary Fibrosis	8790
Headache	8719
Dermatitis, Contact	8717
Hemangioma	8682
Prostatic Hyperplasia	8641
Drug-Induced Liver Injury	8637
Cholestasis	8589
Radiation Injuries	8537
Retinal Diseases	8519
Muscular Dystrophies	8499
Dermatitis, Atopic	8484
Mycoses	8412
Child Behavior Disorders	8412
Craniocerebral Trauma	8369
Gastritis	8366
Liver Neoplasms, Experimental	8365
Lymphoma, B-Cell	8285
Nephrotic Syndrome	8269
Escherichia coli Infections	8265
Erectile Dysfunction	8240
Atherosclerosis	8177
Reperfusion Injury	8157
Diabetic Retinopathy	8149
Periodontitis	8113
Substance Withdrawal Syndrome	8113
Leukemia, Lymphocytic, Chronic, B-Cell	8099
Meningitis	8085
Endometrial Neoplasms	8063
Subarachnoid Hemorrhage	8057
Bone Diseases	8038
Emphysema	8036
Metabolic Syndrome X	8028
Tachycardia	8000
Anaphylaxis	7962
Infant, Premature, Diseases	7885
Myasthenia Gravis	7884
Osteosarcoma	7877
Hematoma	7874
Graves Disease	7860
Leiomyoma	7837
Mouth Diseases	7815
Bacteremia	7811
Joint Diseases	7796
Amyotrophic Lateral Sclerosis	7755
Heart Neoplasms	7627
Glioblastoma	7617
Genital Diseases, Female	7558
Cardiomyopathy, Dilated	7545
Spinal Diseases	7537
Inflammatory Bowel Diseases	7529
Hyperglycemia	7522
Aneurysm	7518
Kidney Calculi	7489
Sleep Apnea Syndromes	7479
Nasopharyngeal Neoplasms	7388
Cardiomyopathy, Hypertrophic	7377
Thyroid Diseases	7369
Otitis Media	7345
HIV Seropositivity	7318
Central Nervous System Diseases	7284
Fatty Liver	7259
Pseudomonas Infections	7239
Chromosome Aberrations	7234
Immunologic Deficiency Syndromes	7215
Airway Obstruction	7213
Genetic Predisposition to Disease	7198
Gastrointestinal Neoplasms	7138
Herpes Simplex	7118
Meningioma	7084
Appendicitis	7071
Hepatitis A	7058
Athletic Injuries	7037
Pheochromocytoma	7030
Myelodysplastic Syndromes	7016
Pulmonary Edema	7006
Tumor Virus Infections	7001
Lymphoma, Large B-Cell, Diffuse	6984
Colitis	6964
Syphilis	6955
Memory Disorders	6955
Aortic Aneurysm	6950
Teratoma	6945
Growth Disorders	6941
Rhinitis, Allergic, Seasonal	6929
Sinusitis	6919
Anemia, Aplastic	6909
Hearing Loss, Sensorineural	6854
Dislocations	6848
Cerebral Palsy	6819
Lymphatic Diseases	6817
Nutrition Disorders	6817
Pregnancy Complications, Cardiovascular	6799
Encephalitis	6769
Blood Coagulation Disorders	6761
Sleep Disorders	6749
Anorexia Nervosa	6717
Diabetic Neuropathies	6712
Malaria, Falciparum	6694
Leukemia, Experimental	6685
Colonic Diseases	6685
Urinary Incontinence	6685
Intestinal Diseases	6681
Spondylitis, Ankylosing	6649
Vasculitis	6642
Myocarditis	6579
Eosinophilia	6578
Neutropenia	6576
Thromboembolism	6570
Chlamydia Infections	6543
Sjogren's Syndrome	6543
Diabetic Angiopathies	6525
Ventricular Fibrillation	6519
Hypertension, Renal	6499
Carcinoma, Papillary	6466
Mesothelioma	6450
Hydrocephalus	6420
Fish Diseases	6419
Low Back Pain	6418
Food Hypersensitivity	6416
Peripheral Arterial Disease	6395
Arteriovenous Fistula	6376
Hyperparathyroidism	6361
Hypertension, Portal	6333
Obsessive-Compulsive Disorder	6333
Drug Eruptions	6330
Hypotension	6307
Neoplasm Metastasis	6284
Brain Damage, Chronic	6259
Meningeal Neoplasms	6224
Papillomavirus Infections	6208
Pleural Effusion	6191
Breast Diseases	6159
Polycystic Ovary Syndrome	6152
Paralysis	6139
Peripheral Vascular Diseases	6110
Personality Disorders	6102
Thalassemia	6100
Back Pain	6094
Macular Degeneration	6084
Learning Disorders	6073
Dermatitis, Allergic Contact	6043
Aspergillosis	6030
Astrocytoma	6005
Deglutition Disorders	5996
Movement Disorders	5992
Mediastinal Neoplasms	5987
Aortic Valve Stenosis	5971
Pyelonephritis	5960
Carcinoma in Situ	5957
Mitral Valve Insufficiency	5946
Mitral Valve Stenosis	5945
Acidosis	5925
Nevus	5922
Hepatitis B, Chronic	5918
Fetal Growth Retardation	5916
Surgical Wound Infection	5895
Lipoma	5892
Aneurysm, Dissecting	5885
Schistosomiasis	5880
Hearing Disorders	5875
Intervertebral Disk Displacement	5872
Cleft Palate	5810
Lymphatic Metastasis	5807
Genital Neoplasms, Female	5802
Eye Neoplasms	5792
Hypercalcemia	5760
Developmental Disabilities	5746
Pancreatic Diseases	5739
Aortic Diseases	5719
Pulmonary Emphysema	5714
Spinal Cord Diseases	5710
Congenital Abnormalities	5696
Graft vs Host Disease	5689
Shock, Hemorrhagic	5685
Carcinoma, Basal Cell	5681
Huntington Disease	5676
Stomach Diseases	5663
Temporomandibular Joint Disorders	5661
Glaucoma, Open-Angle	5656
Sleep Apnea, Obstructive	5636
Gonorrhea	5623
Blindness	5619
Tachycardia, Ventricular	5615
Carcinoma, Ductal, Breast	5609
Neurilemmoma	5606
Epilepsy, Temporal Lobe	5599
Shock	5596
Acne Vulgaris	5592
Hypertrophy, Left Ventricular	5588
Peritoneal Neoplasms	5575
Scoliosis	5553
Fistula	5527
Carcinoma, Ehrlich Tumor	5514
Carcinoid Tumor	5513
Arthritis, Infectious	5498
Cushing Syndrome	5493
Neoplasms, Radiation-Induced	5474
Respiratory Distress Syndrome, Newborn	5455
Hypersensitivity, Immediate	5391
Arthritis, Juvenile Rheumatoid	5379
Neurotic Disorders	5373
Pneumothorax	5362
Carotid Stenosis	5342
Behcet Syndrome	5328
Uveitis	5327
Encephalomyelitis, Autoimmune, Experimental	5322
Gastroenteritis	5314
Sarcoma, Kaposi	5304
Fibroma	5289
Hematologic Diseases	5260
Hepatitis, Viral, Human	5259
Proteinuria	5255
Varicose Veins	5236
Urticaria	5231
Abdominal Injuries	5219
Neuromuscular Diseases	5213
Intestinal Neoplasms	5209
Anemia, Hemolytic	5197
Intestinal Perforation	5178
Esophageal and Gastric Varices	5168
Metabolism, Inborn Errors	5165
Biliary Tract Diseases	5134
Lead Poisoning	5126
Neurofibromatosis 1	5095
Herpesviridae Infections	5089
Ureteral Obstruction	5089
Hernia, Diaphragmatic	5085
Bronchial Neoplasms	5048
Fibrosarcoma	5037
Urinary Calculi	5035
Dental Plaque	5032
Sarcoma, Experimental	5000
Disseminated Intravascular Coagulation	4993
Cholecystitis	4973
Delirium, Dementia, Amnestic, Cognitive Disorders	4962
Demyelinating Diseases	4950
Eating Disorders	4944
Osteoporosis, Postmenopausal	4925
Hypersensitivity, Delayed	4925
Echinococcosis	4919
Phobic Disorders	4911
Brain Edema	4903
Ascites	4892
Intraoperative Complications	4879
Hepatic Encephalopathy	4857
Opportunistic Infections	4845
Pregnancy in Diabetics	4843
Knee Injuries	4833
Heart Valve Diseases	4804
Radiation Injuries, Experimental	4796
Retinal Detachment	4792
Burkitt Lymphoma	4785
Respiratory Hypersensitivity	4764
Bile Duct Neoplasms	4761
Primary Ovarian Insufficiency	4760
Poliomyelitis	4746
Bone Resorption	4737
Thoracic Injuries	4715
Pleural Neoplasms	4693
Genetic Diseases, Inborn	4685
Neurodegenerative Diseases	4675
Nerve Compression Syndromes	4663
Salmonella Infections	4657
Mood Disorders	4657
Pneumonia, Bacterial	4650
Renal Artery Obstruction	4647
Cough	4619
Gout	4618
Herpes Zoster	4591
Spinal Neoplasms	4590
Lung Diseases, Fungal	4584
Neoplasms, Second Primary	4580
Urination Disorders	4568
Facial Paralysis	4562
Choristoma	4561
Gonadal Dysgenesis	4557
Strabismus	4540
Myocardial Reperfusion Injury	4539
Lyme Disease	4516
Hemochromatosis	4515
Puerperal Disorders	4507
Corneal Diseases	4496
Coma	4487
Angina, Unstable	4482
Syncope	4478
Rodent Diseases	4477
Heart Septal Defects, Atrial	4455
Toxoplasmosis	4439
Dizziness	4439
Paraplegia	4428
Papilloma	4425
Dyspnea	4405
Typhoid Fever	4404
Alcoholic Intoxication	4394
Ophthalmoplegia	4385
Duodenal Diseases	4383
Aortic Aneurysm, Abdominal	4381
Antiphospholipid Syndrome	4380
Agranulocytosis	4376
Esophageal Diseases	4357
Pemphigus	4344
Wilms Tumor	4336
Liver Cirrhosis, Biliary	4334
beta-Thalassemia	4333
Chagas Disease	4326
Cicatrix	4321
Dermatitis, Occupational	4307
Pigmentation Disorders	4302
Urinary Bladder Diseases	4284
Urologic Diseases	4277
Lymphoproliferative Disorders	4277
Nerve Degeneration	4258
Sleep Initiation and Maintenance Disorders	4247
Chronic Disease	4245
Epilepsies, Partial	4239
Foot Diseases	4233
Thymus Neoplasms	4227
Renal Insufficiency	4227
Retroperitoneal Neoplasms	4225
Acromegaly	4225
Aphasia	4223
Intracranial Embolism and Thrombosis	4222
Joint Instability	4219
Pregnancy, Ectopic	4204
Autonomic Nervous System Diseases	4200
Carcinoma, Bronchogenic	4197
Eye Injuries	4191
Retinal Degeneration	4162
Nose Neoplasms	4156
Rheumatic Heart Disease	4148
Wounds, Gunshot	4148
Myopia	4137
Osteoarthritis, Knee	4135
Rhinitis, Allergic, Perennial	4130
Porphyrias	4123
Poisoning	4119
Bird Diseases	4116
Anemia, Hypochromic	4105
Spinal Cord Neoplasms	4104
Intestinal Fistula	4104
Myositis	4095
Dystonia	4089
Rhabdomyosarcoma	4086
Bronchial Diseases	4080
Arthritis, Experimental	4063
Neoplasms, Germ Cell and Embryonal	4062
Salivary Gland Neoplasms	4061
Aortic Valve Insufficiency	4057
Cerebellar Neoplasms	4039
Spinal Cord Compression	4036
Brucellosis	4032
Abortion, Spontaneous	4029
Coronary Stenosis	4015
Substance Abuse, Intravenous	4005
Wounds, Penetrating	3985
Speech Disorders	3981
Coronary Vessel Anomalies	3977
Infectious Mononucleosis	3971
Plasmacytoma	3968
Pneumonia, Pneumocystis	3965
Vaccinia	3948
Melanoma, Experimental	3944
Pneumococcal Infections	3939
Rheumatic Fever	3927
Amenorrhea	3927
Obstetric Labor, Premature	3926
Leiomyosarcoma	3924
Embolism	3922
Somatoform Disorders	3900
Hamartoma	3896
Hematologic Neoplasms	3884
Abnormalities, Drug-Induced	3880
Cleft Lip	3879
Aneurysm, False	3872
Turner Syndrome	3862
Rhinitis	3859
Dermatomycoses	3858
Bundle-Branch Block	3849
Hemiplegia	3843
Wegener Granulomatosis	3842
Orbital Neoplasms	3840
Arteriovenous Malformations	3829
Hyponatremia	3818
Leukemia, Promyelocytic, Acute	3813
Fibromyalgia	3812
Abdominal Neoplasms	3810
Dyslexia	3800
Muscular Atrophy	3779
Mandibular Neoplasms	3777
Pregnancy Complications, Hematologic	3775
Hearing Loss	3762
Cervical Intraepithelial Neoplasia	3759
Neuralgia	3748
Multiple Trauma	3745
Nevus, Pigmented	3736
Leishmaniasis, Visceral	3731
Communicable Diseases	3730
Parotid Neoplasms	3730
Hypertension, Renovascular	3729
Pericarditis	3719
Protein-Energy Malnutrition	3717
Gram-Negative Bacterial Infections	3716
Hypogonadism	3716
Optic Nerve Diseases	3710
Phenylketonurias	3701
Intracranial Arteriovenous Malformations	3701
Brain Abscess	3692
Albuminuria	3688
Panic Disorder	3687
Hypoxia, Brain	3682
Sexually Transmitted Diseases	3671
Tibial Fractures	3667
Thyroiditis, Autoimmune	3658
Retinitis Pigmentosa	3644
Gram-Positive Bacterial Infections	3639
Hyperlipoproteinemia Type II	3634
Dyskinesia, Drug-Induced	3633
Fetal Death	3631
Amebiasis	3625
Dermatomyositis	3614
Malabsorption Syndromes	3613
Carcinoma, Intraductal, Noninfiltrating	3609
Spinal Fractures	3608
Tongue Neoplasms	3604
Polyps	3596
Retinoblastoma	3591
Giant Cell Arteritis	3586
Infertility	3581
Splenic Diseases	3581
Graft Occlusion, Vascular	3569
Status Epilepticus	3558
Sexual Dysfunction, Physiological	3554
Lung Diseases, Interstitial	3551
Barrett Esophagus	3547
Vulvar Neoplasms	3544
Skin Diseases, Vesiculobullous	3536
Hyperaldosteronism	3532
Myxoma	3521
Hematuria	3515
Long QT Syndrome	3509
Mycobacterium Infections	3506
Hand Dermatoses	3506
Adenocarcinoma, Mucinous	3502
Measles	3482
Vertigo	3479
Leg Ulcer	3470
Mastitis, Bovine	3455
Histiocytoma	3454
Bronchial Hyperreactivity	3450
Intussusception	3446
Diverticulum	3442
Meningitis, Bacterial	3438
Pregnancy Complications, Neoplastic	3437
Glomerulonephritis, IGA	3432
Histiocytoma, Benign Fibrous	3428
Lymphedema	3427
Amino Acid Metabolism, Inborn Errors	3427
Gallbladder Neoplasms	3425
Bradycardia	3416
Femoral Fractures	3413
Obstetric Labor Complications	3408
Alopecia	3399
Jaundice	3385
Enterocolitis, Pseudomembranous	3384
Keratitis	3380
Thymoma	3373
Purpura, Thrombocytopenic	3367
Tremor	3366
Hydronephrosis	3364
Death, Sudden	3352
Facial Dermatoses	3348
Cryptococcosis	3342
Diabetes Insipidus	3342
Eczema	3342
Carpal Tunnel Syndrome	3340
Pain, Intractable	3332
Lymphoma, T-Cell	3317
Parathyroid Neoplasms	3314
Mucocutaneous Lymph Node Syndrome	3307
Pruritus	3305
Goiter	3303
Erythroblastosis, Fetal	3300
Mandibular Diseases	3290
Hallucinations	3288
Skull Fractures	3275
Metabolic Diseases	3268
Vesico-Ureteral Reflux	3264
Pharyngitis	3263
Paraneoplastic Syndromes	3261
Amnesia	3260
Foreign-Body Migration	3245
Heart Septal Defects, Ventricular	3244
Sudden Infant Death	3221
Rectal Diseases	3216
Hyperalgesia	3212
Paranasal Sinus Neoplasms	3205
Tetanus	3203
Skin Ulcer	3203
Asphyxia Neonatorum	3199
Hypokalemia	3190
Anemia, Hemolytic, Autoimmune	3181
Pericardial Effusion	3170
Erythema	3159
Cystitis	3155
Amblyopia	3142
Hepatolenticular Degeneration	3127
Laryngeal Diseases	3126
Dehydration	3122
Chickenpox	3117
Heart Aneurysm	3114
Salmonella Infections, Animal	3111
Neurocirculatory Asthenia	3108
Wound Infection	3105
Histiocytosis, Langerhans-Cell	3101
Vitamin D Deficiency	3100
Hemangiosarcoma	3096
Cryptorchidism	3094
Cerebellar Diseases	3093
Neoplasms, Hormone-Dependent	3090
Dermatitis	3086
Keratosis	3073
Gingivitis	3067
Esophageal Stenosis	3064
Endophthalmitis	3060
Hepatitis, Chronic	3057
Multiple Organ Failure	3052
Fatigue Syndrome, Chronic	3041
Tendon Injuries	3039
Acute Coronary Syndrome	3038
Coronary Thrombosis	3031
Tuberculosis, Meningeal	3027
Schistosomiasis mansoni	3026
Obesity, Morbid	3025
Raynaud Disease	3020
Hypopituitarism	3010
Nephritis	3008
Tuberous Sclerosis	3006
Hyperinsulinism	3003
Language Disorders	3002
Cardiac Output, Low	2998
Photosensitivity Disorders	2998
Myotonic Dystrophy	2994
Muscle Weakness	2991
Purpura, Thrombocytopenic, Idiopathic	2985
Disorders of Sex Development	2980
Tonsillitis	2979
Meniere Disease	2975
Cellulitis	2974
Urinary Bladder, Neurogenic	2973
Hemangioma, Cavernous	2970
Jaundice, Neonatal	2970
Orbital Diseases	2966
Dysentery, Bacillary	2956
Prosthesis-Related Infections	2955
Listeriosis	2954
Sarcoma, Ewing's	2952
Antisocial Personality Disorder	2951
Skull Neoplasms	2948
Cocaine-Related Disorders	2948
Anemia, Iron-Deficiency	2946
Heroin Dependence	2943
Polyarteritis Nodosa	2941
Intestinal Diseases, Parasitic	2938
Perceptual Disorders	2936
Li-Fraumeni Syndrome	2933
Aortic Coarctation	2930
Uterine Diseases	2924
Adrenal Hyperplasia, Congenital	2920
Ileal Diseases	2918
Borderline Personality Disorder	2915
Tobacco Use Disorder	2914
Ossification, Heterotopic	2897
Osteitis Deformans	2892
Pulmonary Heart Disease	2882
Ureteral Calculi	2871
Polycystic Kidney Diseases	2868
Ductus Arteriosus, Patent	2867
Aortic Rupture	2866
Agammaglobulinemia	2865
Primary Myelofibrosis	2865
Community-Acquired Infections	2864
Abortion, Habitual	2864
Hemolytic-Uremic Syndrome	2861
Choriocarcinoma	2848
Cardiac Tamponade	2840
Spinal Injuries	2840
Temporomandibular Joint Dysfunction Syndrome	2839
Infarction	2838
Pharyngeal Neoplasms	2831
Rhabdomyolysis	2828
Nephritis, Interstitial	2827
Bacteriuria	2815
Collagen Diseases	2807
Intermittent Claudication	2806
Otitis Media with Effusion	2801
Tinnitus	2798
Facial Neoplasms	2797
Hematoma, Subdural	2789
Silicosis	2785
Polycythemia Vera	2784
Bone Diseases, Metabolic	2771
Opioid-Related Disorders	2763
Burns, Chemical	2762
Creutzfeldt-Jakob Syndrome	2760
Fragile X Syndrome	2756
von Willebrand Diseases	2756
Prostatitis	2754
Epstein-Barr Virus Infections	2751
Osteonecrosis	2748
Leukemia L1210	2747
Medulloblastoma	2747
Liver Cirrhosis, Alcoholic	2745
Uterine Hemorrhage	2743
Pelvic Neoplasms	2740
Embolism, Air	2735
Lichen Planus	2735
Hip Dislocation, Congenital	2731
Diabetes, Gestational	2728
Meningoencephalitis	2725
Neural Tube Defects	2725
Gallbladder Diseases	2723
Diseases in Twins	2719
Myeloproliferative Disorders	2713
Rubella	2711
Optic Neuritis	2711
Mycosis Fungoides	2710
Adenoma, Islet Cell	2707
Respiration Disorders	2703
Parkinsonian Disorders	2702
Tachycardia, Supraventricular	2702
Dwarfism	2700
Fecal Incontinence	2698
Mycobacterium Infections, Atypical	2696
Myoclonus	2688
Ear Diseases	2684
Intestinal Polyps	2683
Dysgerminoma	2681
Synovitis	2676
Heart Injuries	2676
Delirium	2675
Enteritis	2670
Marfan Syndrome	2664
Diabetic Ketoacidosis	2658
Venous Insufficiency	2657
Pneumoconiosis	2654
Nystagmus, Pathologic	2654
Urinary Incontinence, Stress	2649
Apnea	2645
Enterobacteriaceae Infections	2640
Eyelid Diseases	2637
Polyradiculoneuropathy	2636
Duodenal Neoplasms	2634
Leukemia, Erythroblastic, Acute	2632
Shock, Cardiogenic	2629
Lupus Nephritis	2620
Colonic Polyps	2620
Paraproteinemias	2619
Campylobacter Infections	2616
Choroid Neoplasms	2612
Neoplasm Invasiveness	2608
Endocarditis	2606
Diabetic Foot	2601
Muscle Spasticity	2593
Histoplasmosis	2590
Wolff-Parkinson-White Syndrome	2585
Diabetes Complications	2585
Hearing Loss, Noise-Induced	2576
Pressure Ulcer	2573
Purpura, Thrombotic Thrombocytopenic	2572
Chondrosarcoma	2555
Lymphoma, Follicular	2551
Thoracic Neoplasms	2550
Leishmaniasis, Cutaneous	2548
Pleural Diseases	2543
Genital Diseases, Male	2542
Sexual Dysfunctions, Psychological	2540
Quadriplegia	2533
Colonic Diseases, Functional	2531
Bone Diseases, Developmental	2523
Polyneuropathies	2506
Haemophilus Infections	2504
Voice Disorders	2504
Adrenal Cortex Neoplasms	2500
Maxillary Neoplasms	2497
Aneurysm, Ruptured	2497
Monkey Diseases	2496
Skin Diseases, Infectious	2494
Tourette Syndrome	2494
Angioedema	2489
Hypocalcemia	2488
Polycythemia	2485
Malocclusion, Angle Class II	2479
Ulcer	2478
Gaucher Disease	2470
Death, Sudden, Cardiac	2468
Vitamin B 12 Deficiency	2466
Adrenal Gland Diseases	2466
Thrombophilia	2465
Osteochondrodysplasias	2464
Basal Ganglia Diseases	2464
Kidney Diseases, Cystic	2459
Vitiligo	2459
Actinomycosis	2458
Oligospermia	2457
Parkinson Disease, Secondary	2451
Meningococcal Infections	2450
Connective Tissue Diseases	2443
Eye Infections, Bacterial	2440
Purpura, Schoenlein-Henoch	2434
Language Development Disorders	2428
Adenomatous Polyposis Coli	2427
Tuberculosis, Osteoarticular	2426
Mitral Valve Prolapse	2423
Anemia, Pernicious	2417
Hypotension, Orthostatic	2413
Esophageal Achalasia	2410
Orthomyxoviridae Infections	2402
Bites and Stings	2401
Starvation	2399
Liver Diseases, Alcoholic	2396
Trigeminal Neuralgia	2392
Ovarian Diseases	2391
Waldenstrom Macroglobulinemia	2388
Nail Diseases	2388
Menstruation Disturbances	2388
Refractive Errors	2387
Filariasis	2383
Sex Chromosome Aberrations	2380
Hyperkalemia	2370
Lymphoma, B-Cell, Marginal Zone	2367
Parotitis	2367
Cholangiocarcinoma	2366
Ear Neoplasms	2359
Fanconi Syndrome	2355
Anus Neoplasms	2342
Hypertrichosis	2338
Adrenal Insufficiency	2337
Mycoplasma Infections	2334
Echinococcosis, Hepatic	2332
Tachycardia, Paroxysmal	2332
Muscular Dystrophy, Animal	2330
Hip Fractures	2330
Central Nervous System Neoplasms	2329
Femur Head Necrosis	2329
Esophagitis	2328
Leukemia-Lymphoma, Adult T-Cell	2325
Glomerulosclerosis, Focal Segmental	2318
Carcinoma, Adenoid Cystic	2315
Bone Marrow Diseases	2314
Osteogenesis Imperfecta	2310
Liver Cirrhosis, Experimental	2309
Bronchiectasis	2309
Leukemia, Hairy Cell	2306
Psychoses, Substance-Induced	2304
Leishmaniasis	2301
Ataxia	2297
Aortic Aneurysm, Thoracic	2296
Enuresis	2295
Carbon Monoxide Poisoning	2293
Choroidal Neovascularization	2290
Atrial Flutter	2272
Nasal Polyps	2271
Liver Abscess	2266
Foot Dermatoses	2262
Leg Injuries	2260
Pelvic Infection	2259
Condylomata Acuminata	2252
Cholestasis, Intrahepatic	2251
Xanthomatosis	2251
Coronary Vasospasm	2250
Glucose Intolerance	2245
Whooping Cough	2243
Irritable Bowel Syndrome	2242
Facial Pain	2240
