	MeSH Disease Term	PubMed occurrence	MeSH Disease ID
75	Thyroid Neoplasms	20507	D013964
76	Burns	20448	D002056
77	Hepatitis C	20364	D006526
78	Diabetes Mellitus, Experimental	19998	D003921
79	Cerebrovascular Disorders	19754	D002561
80	Adenoma	18992	D000236
81	Cystic Fibrosis	18917	D003550
82	Multiple Myeloma	18601	D009101
83	Neoplasms, Experimental	18564	D009374
84	Tuberculosis	18526	D014376
85	Hodgkin Disease	18508	D006689
86	Carcinoma, Non-Small-Cell Lung	18429	D002289
87	Ischemia	18355	D007511
88	Seizures	18338	D012640
89	Uterine Neoplasms	18245	D014594
90	Esophageal Neoplasms	17855	D004938
91	Leukemia, Myeloid, Acute	17814	D015470
92	Staphylococcal Infections	17801	D013203
93	Acute Kidney Injury	17766	D058186
94	Psoriasis	17618	D011565
95	Crohn Disease	17462	D003424
96	Lymphoma, Non-Hodgkin	17427	D008228
97	Bipolar Disorder	17414	D001714
98	Hemorrhage	17240	D006470
99	Abnormalities, Multiple	16849	D000015
100	Mental Retardation	16842	D008607
101	Gastrointestinal Hemorrhage	16416	D006471
102	Neoplasm Recurrence, Local	16302	D009364
103	Glioma	15897	D005910
104	Hypersensitivity	15835	D006967
105	Atrial Fibrillation	15779	D001281
106	Pneumonia	15737	D011014
107	Fractures, Bone	15485	D050723
108	Helicobacter Infections	15366	D016481
109	Calcinosis	15359	D002114
110	Psychotic Disorders	15313	D011618
111	Heart Defects, Congenital	15181	D006330
112	Spinal Cord Injuries	14977	D013119
113	Common Cold	14819	D003139
114	Angina Pectoris	14713	D000787
115	Pulmonary Embolism	14625	D011655
116	Urinary Tract Infections	14472	D014552
117	Hepatitis	14331	D006505
118	Colitis, Ulcerative	14233	D003093
119	Fetal Diseases	14185	D005315
120	Rectal Neoplasms	14051	D012004
121	Cysts	13974	D003560
122	Hepatitis B	13961	D006509
123	Glomerulonephritis	13815	D005921
124	Gallstones	13762	D042882
125	Glaucoma	13611	D005901
126	Leukemia, Myeloid	13417	D007951
127	Respiratory Tract Infections	13392	D012141
128	Anemia	13275	D000740
129	Infection	13195	D007239
130	Hypertension, Pulmonary	13068	D006976
131	Mouth Neoplasms	13002	D009062
132	Horse Diseases	12999	D006734
133	Infant, Newborn, Diseases	12972	D007232
134	Arterial Occlusive Diseases	12967	D001157
135	Precursor Cell Lymphoblastic Leukemia-Lymphoma	12946	D054198
136	Respiratory Insufficiency	12928	D012131
137	Gastrointestinal Diseases	12903	D005767
138	Toxemia	12831	D014115
139	Malaria	12709	D008288
140	Leukemia, Lymphoid	12551	D007945
141	Testicular Neoplasms	12480	D013736
142	Cardiomyopathies	12321	D009202
143	Hyperthyroidism	12285	D006980
144	Streptococcal Infections	12253	D013290
145	Sarcoidosis	12242	D012507
146	Carcinoma, Renal Cell	12220	D002292
147	Pre-Eclampsia	12118	D011225
148	Hypothyroidism	12116	D007037
149	Peptic Ulcer	11997	D010437
150	Osteoarthritis	11913	D010003
151	Migraine Disorders	11890	D008881
152	Hyperlipidemias	11745	D006949
153	Cerebral Hemorrhage	11643	D002543
154	Arthritis	11628	D001168
155	Neuroblastoma	11594	D009447
156	Down Syndrome	11507	D004314
157	Attention Deficit Disorder with Hyperactivity	11428	D001289
158	Precancerous Conditions	11413	D011230
159	Pituitary Neoplasms	11363	D010911
160	Neoplasms, Multiple Primary	11289	D009378
161	Infertility, Female	11287	D007247
162	Amyloidosis	11208	D000686
163	Foreign Bodies	11184	D005547
164	Muscular Diseases	11160	D009135
165	Peripheral Nervous System Diseases	11139	D010523
166	Lung Diseases, Obstructive	11033	D008173
167	Laryngeal Neoplasms	10973	D007822
168	Intestinal Obstruction	10943	D007415
169	Stress Disorders, Post-Traumatic	10934	D013313
170	Heart Arrest	10894	D006323
171	Pulmonary Disease, Chronic Obstructive	10883	D029424
172	Pregnancy Complications, Infectious	10840	D011251
173	Cytomegalovirus Infections	10749	D003586
174	Vascular Diseases	10742	D014652
175	Cataract	10719	D002386
176	Stomach Ulcer	10664	D013276
177	Hemophilia A	10650	D006467
178	Cholelithiasis	10641	D002769
179	Hypercholesterolemia	10608	D006937
180	Anemia, Sickle Cell	10525	D000755
181	Duodenal Ulcer	10489	D004381
182	Hepatitis C, Chronic	10391	D019698
183	Shock, Septic	10382	D012772
184	Intracranial Aneurysm	10349	D002532
185	Scleroderma, Diffuse	10329	D045743
186	Cat Diseases	10326	D002371
187	Poultry Diseases	10315	D011201
188	Anxiety Disorders	10290	D001008
189	Ventricular Dysfunction, Left	10263	D018487
190	Gastroesophageal Reflux	10255	D005764
191	Peritonitis	10239	D010538
192	Periodontal Diseases	10199	D010510
193	Swine Diseases	10180	D013553
194	AIDS-Related Opportunistic Infections	10128	D017088
195	Scleroderma, Systemic	10075	D012595
196	Depressive Disorder, Major	10060	D003865
197	Infertility, Male	10026	D007248
198	Adrenal Gland Neoplasms	10004	D000310
199	Cross Infection	9949	D003428
200	Sarcoma	9945	D012509
201	Neovascularization, Pathologic	9944	D009389
202	Leprosy	9904	D007918
203	Thrombophlebitis	9890	D013924
204	Wounds, Nonpenetrating	9881	D014949
205	Thrombocytopenia	9856	D013921
206	Mammary Neoplasms, Experimental	9854	D008325
207	Abscess	9835	D000038
208	Carcinoma, Small Cell	9832	D018288
209	Autistic Disorder	9815	D001321
210	Soft Tissue Neoplasms	9794	D012983
211	Cell Transformation, Neoplastic	9725	D002471
212	Uremia	9723	D014511
213	Endometriosis	9684	D004715
214	Malocclusion	9678	D008310
215	Sheep Diseases	9626	D012757
216	Rheumatic Diseases	9598	D012216
217	Pain, Postoperative	9578	D010149
218	Carcinoma, Transitional Cell	9558	D002295
219	Celiac Disease	9534	D002446
220	Candidiasis	9527	D002177
221	Hypoglycemia	9526	D007003
222	Heart Block	9466	D006327
223	Dental Caries	9448	D003731
224	Ischemic Attack, Transient	9388	D002546
225	Influenza, Human	9330	D007251
226	Deafness	9265	D003638
227	Cardiomegaly	9251	D006332
228	Vision Disorders	9229	D014786
229	Angiolymphoid Hyperplasia with Eosinophilia	9216	D000796
230	Carotid Artery Diseases	9185	D002340
231	Respiratory Distress Syndrome, Adult	9183	D012128
232	Endocarditis, Bacterial	9178	D004697
233	Idiopathic Pulmonary Fibrosis	9130	D054990
234	Granuloma	9089	D006099
235	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	9061	D015464
236	Drug Hypersensitivity	8973	D004342
237	Bronchitis	8938	D001991
238	Venous Thrombosis	8915	D020246
239	Diabetic Nephropathies	8875	D003928
240	Osteomyelitis	8849	D010019
241	Pulmonary Fibrosis	8790	D011658
242	Headache	8719	D006261
243	Dermatitis, Contact	8717	D003877
244	Hemangioma	8682	D006391
245	Prostatic Hyperplasia	8641	D011470
246	Drug-Induced Liver Injury	8637	D056486
247	Cholestasis	8589	D002779
248	Radiation Injuries	8537	D011832
249	Retinal Diseases	8519	D012164
250	Muscular Dystrophies	8499	D009136
251	Dermatitis, Atopic	8484	D003876
252	Mycoses	8412	D009181
253	Child Behavior Disorders	8412	D002653
254	Craniocerebral Trauma	8369	D006259
255	Gastritis	8366	D005756
256	Liver Neoplasms, Experimental	8365	D008114
257	Lymphoma, B-Cell	8285	D016393
258	Nephrotic Syndrome	8269	D009404
259	Escherichia coli Infections	8265	D004927
260	Erectile Dysfunction	8240	D007172
261	Atherosclerosis	8177	D050197
262	Reperfusion Injury	8157	D015427
263	Diabetic Retinopathy	8149	D003930
264	Periodontitis	8113	D010518
265	Substance Withdrawal Syndrome	8113	D013375
266	Leukemia, Lymphocytic, Chronic, B-Cell	8099	D015451
267	Meningitis	8085	D008581
268	Endometrial Neoplasms	8063	D016889
269	Subarachnoid Hemorrhage	8057	D013345
270	Bone Diseases	8038	D001847
271	Emphysema	8036	D004646
272	Metabolic Syndrome X	8028	D024821
273	Tachycardia	8000	D013610
274	Anaphylaxis	7962	D000707
275	Infant, Premature, Diseases	7885	D007235
276	Myasthenia Gravis	7884	D009157
277	Osteosarcoma	7877	D012516
278	Hematoma	7874	D006406
279	Graves Disease	7860	D006111
280	Leiomyoma	7837	D007889
281	Mouth Diseases	7815	D009059
282	Bacteremia	7811	D016470
283	Joint Diseases	7796	D007592
284	Amyotrophic Lateral Sclerosis	7755	D000690
285	Heart Neoplasms	7627	D006338
286	Glioblastoma	7617	D005909
287	Genital Diseases, Female	7558	D005831
288	Cardiomyopathy, Dilated	7545	D002311
289	Spinal Diseases	7537	D013122
290	Inflammatory Bowel Diseases	7529	D015212
291	Hyperglycemia	7522	D006943
292	Aneurysm	7518	D000783
293	Kidney Calculi	7489	D007669
294	Sleep Apnea Syndromes	7479	D012891
295	Nasopharyngeal Neoplasms	7388	D009303
296	Cardiomyopathy, Hypertrophic	7377	D002312
297	Thyroid Diseases	7369	D013959
298	Otitis Media	7345	D010033
299	HIV Seropositivity	7318	D006679
300	Central Nervous System Diseases	7284	D002493
301	Fatty Liver	7259	D005234
302	Pseudomonas Infections	7239	D011552
303	Chromosome Aberrations	7234	D002869
304	Immunologic Deficiency Syndromes	7215	D007153
305	Airway Obstruction	7213	D000402
306	Genetic Predisposition to Disease	7198	D020022
307	Gastrointestinal Neoplasms	7138	D005770
308	Herpes Simplex	7118	D006561
309	Meningioma	7084	D008579
310	Appendicitis	7071	D001064
311	Hepatitis A	7058	D006506
312	Athletic Injuries	7037	D001265
313	Pheochromocytoma	7030	D010673
314	Myelodysplastic Syndromes	7016	D009190
315	Pulmonary Edema	7006	D011654
316	Tumor Virus Infections	7001	D014412
317	Lymphoma, Large B-Cell, Diffuse	6984	D016403
318	Colitis	6964	D003092
319	Syphilis	6955	D013587
320	Memory Disorders	6955	D008569
321	Aortic Aneurysm	6950	D001014
322	Teratoma	6945	D013724
323	Growth Disorders	6941	D006130
324	Rhinitis, Allergic, Seasonal	6929	D006255
325	Sinusitis	6919	D012852
326	Anemia, Aplastic	6909	D000741
327	Hearing Loss, Sensorineural	6854	D006319
328	Dislocations	6848	D004204
329	Cerebral Palsy	6819	D002547
330	Lymphatic Diseases	6817	D008206
331	Nutrition Disorders	6817	D009748
332	Pregnancy Complications, Cardiovascular	6799	D011249
333	Encephalitis	6769	D004660
334	Blood Coagulation Disorders	6761	D001778
335	Sleep Disorders	6749	D012893
336	Anorexia Nervosa	6717	D000856
337	Diabetic Neuropathies	6712	D003929
338	Malaria, Falciparum	6694	D016778
339	Leukemia, Experimental	6685	D007942
340	Colonic Diseases	6685	D003108
341	Urinary Incontinence	6685	D014549
342	Intestinal Diseases	6681	D007410
343	Spondylitis, Ankylosing	6649	D013167
344	Vasculitis	6642	D014657
345	Myocarditis	6579	D009205
346	Eosinophilia	6578	D004802
347	Neutropenia	6576	D009503
348	Thromboembolism	6570	D013923
349	Chlamydia Infections	6543	D002690
350	Sjogren's Syndrome	6543	D012859
351	Diabetic Angiopathies	6525	D003925
352	Ventricular Fibrillation	6519	D014693
353	Hypertension, Renal	6499	D006977
354	Carcinoma, Papillary	6466	D002291
355	Mesothelioma	6450	D008654
356	Hydrocephalus	6420	D006849
357	Fish Diseases	6419	D005393
358	Low Back Pain	6418	D017116
359	Food Hypersensitivity	6416	D005512
360	Peripheral Arterial Disease	6395	D058729
361	Arteriovenous Fistula	6376	D001164
362	Hyperparathyroidism	6361	D006961
363	Hypertension, Portal	6333	D006975
364	Obsessive-Compulsive Disorder	6333	D009771
365	Drug Eruptions	6330	D003875
366	Hypotension	6307	D007022
367	Neoplasm Metastasis	6284	D009362
368	Brain Damage, Chronic	6259	D001925
369	Meningeal Neoplasms	6224	D008577
370	Papillomavirus Infections	6208	D030361
371	Pleural Effusion	6191	D010996
372	Breast Diseases	6159	D001941
373	Polycystic Ovary Syndrome	6152	D011085
374	Paralysis	6139	D010243
375	Peripheral Vascular Diseases	6110	D016491
376	Personality Disorders	6102	D010554
377	Thalassemia	6100	D013789
378	Back Pain	6094	D001416
379	Macular Degeneration	6084	D008268
380	Learning Disorders	6073	D007859
381	Dermatitis, Allergic Contact	6043	D017449
382	Aspergillosis	6030	D001228
383	Astrocytoma	6005	D001254
384	Deglutition Disorders	5996	D003680
385	Movement Disorders	5992	D009069
386	Mediastinal Neoplasms	5987	D008479
387	Aortic Valve Stenosis	5971	D001024
388	Pyelonephritis	5960	D011704
389	Carcinoma in Situ	5957	D002278
390	Mitral Valve Insufficiency	5946	D008944
391	Mitral Valve Stenosis	5945	D008946
392	Acidosis	5925	D000138
393	Nevus	5922	D009506
394	Hepatitis B, Chronic	5918	D019694
395	Fetal Growth Retardation	5916	D005317
396	Surgical Wound Infection	5895	D013530
397	Lipoma	5892	D008067
398	Aneurysm, Dissecting	5885	D000784
399	Schistosomiasis	5880	D012552
400	Hearing Disorders	5875	D006311
401	Intervertebral Disk Displacement	5872	D007405
402	Cleft Palate	5810	D002972
403	Lymphatic Metastasis	5807	D008207
404	Genital Neoplasms, Female	5802	D005833
405	Eye Neoplasms	5792	D005134
406	Hypercalcemia	5760	D006934
407	Developmental Disabilities	5746	D002658
408	Pancreatic Diseases	5739	D010182
409	Aortic Diseases	5719	D001018
410	Pulmonary Emphysema	5714	D011656
411	Spinal Cord Diseases	5710	D013118
412	Congenital Abnormalities	5696	D000013
413	Graft vs Host Disease	5689	D006086
414	Shock, Hemorrhagic	5685	D012771
415	Carcinoma, Basal Cell	5681	D002280
416	Huntington Disease	5676	D006816
417	Stomach Diseases	5663	D013272
418	Temporomandibular Joint Disorders	5661	D013705
419	Glaucoma, Open-Angle	5656	D005902
420	Sleep Apnea, Obstructive	5636	D020181
421	Gonorrhea	5623	D006069
422	Blindness	5619	D001766
423	Tachycardia, Ventricular	5615	D017180
424	Carcinoma, Ductal, Breast	5609	D018270
425	Neurilemmoma	5606	D009442
426	Epilepsy, Temporal Lobe	5599	D004833
427	Shock	5596	D012769
428	Acne Vulgaris	5592	D000152
429	Hypertrophy, Left Ventricular	5588	D017379
430	Peritoneal Neoplasms	5575	D010534
431	Scoliosis	5553	D012600
432	Fistula	5527	D005402
433	Carcinoma, Ehrlich Tumor	5514	D002286
434	Carcinoid Tumor	5513	D002276
435	Arthritis, Infectious	5498	D001170
436	Cushing Syndrome	5493	D003480
437	Neoplasms, Radiation-Induced	5474	D009381
438	Respiratory Distress Syndrome, Newborn	5455	D012127
439	Hypersensitivity, Immediate	5391	D006969
440	Arthritis, Juvenile Rheumatoid	5379	D001171
441	Neurotic Disorders	5373	D009497
442	Pneumothorax	5362	D011030
443	Carotid Stenosis	5342	D016893
444	Behcet Syndrome	5328	D001528
445	Uveitis	5327	D014605
446	Encephalomyelitis, Autoimmune, Experimental	5322	D004681
447	Gastroenteritis	5314	D005759
448	Sarcoma, Kaposi	5304	D012514
449	Fibroma	5289	D005350
450	Hematologic Diseases	5260	D006402
451	Hepatitis, Viral, Human	5259	D006525
452	Proteinuria	5255	D011507
453	Varicose Veins	5236	D014648
454	Urticaria	5231	D014581
455	Abdominal Injuries	5219	D000007
456	Neuromuscular Diseases	5213	D009468
457	Intestinal Neoplasms	5209	D007414
458	Anemia, Hemolytic	5197	D000743
459	Intestinal Perforation	5178	D007416
460	Esophageal and Gastric Varices	5168	D004932
461	Metabolism, Inborn Errors	5165	D008661
462	Biliary Tract Diseases	5134	D001660
463	Lead Poisoning	5126	D007855
464	Neurofibromatosis 1	5095	D009456
465	Herpesviridae Infections	5089	D006566
466	Ureteral Obstruction	5089	D014517
467	Hernia, Diaphragmatic	5085	D006548
468	Bronchial Neoplasms	5048	D001984
469	Fibrosarcoma	5037	D005354
470	Urinary Calculi	5035	D014545
471	Dental Plaque	5032	D003773
472	Sarcoma, Experimental	5000	D012513
473	Disseminated Intravascular Coagulation	4993	D004211
474	Cholecystitis	4973	D002764
475	Delirium, Dementia, Amnestic, Cognitive Disorders	4962	D019965
476	Demyelinating Diseases	4950	D003711
477	Eating Disorders	4944	D001068
478	Osteoporosis, Postmenopausal	4925	D015663
479	Hypersensitivity, Delayed	4925	D006968
480	Echinococcosis	4919	D004443
481	Phobic Disorders	4911	D010698
482	Brain Edema	4903	D001929
483	Ascites	4892	D001201
484	Intraoperative Complications	4879	D007431
485	Hepatic Encephalopathy	4857	D006501
486	Opportunistic Infections	4845	D009894
487	Pregnancy in Diabetics	4843	D011254
488	Knee Injuries	4833	D007718
489	Heart Valve Diseases	4804	D006349
490	Radiation Injuries, Experimental	4796	D011833
491	Retinal Detachment	4792	D012163
492	Burkitt Lymphoma	4785	D002051
493	Respiratory Hypersensitivity	4764	D012130
494	Bile Duct Neoplasms	4761	D001650
495	Primary Ovarian Insufficiency	4760	D016649
496	Poliomyelitis	4746	D011051
497	Bone Resorption	4737	D001862
498	Thoracic Injuries	4715	D013898
499	Pleural Neoplasms	4693	D010997
500	Genetic Diseases, Inborn	4685	D030342
501	Neurodegenerative Diseases	4675	D019636
502	Nerve Compression Syndromes	4663	D009408
503	Salmonella Infections	4657	D012480
504	Mood Disorders	4657	D019964
505	Pneumonia, Bacterial	4650	D018410
506	Renal Artery Obstruction	4647	D012078
507	Cough	4619	D003371
508	Gout	4618	D006073
509	Herpes Zoster	4591	D006562
510	Spinal Neoplasms	4590	D013125
511	Lung Diseases, Fungal	4584	D008172
512	Neoplasms, Second Primary	4580	D016609
513	Urination Disorders	4568	D014555
514	Facial Paralysis	4562	D005158
515	Choristoma	4561	D002828
516	Gonadal Dysgenesis	4557	D006059
517	Strabismus	4540	D013285
518	Myocardial Reperfusion Injury	4539	D015428
519	Lyme Disease	4516	D008193
520	Hemochromatosis	4515	D006432
521	Puerperal Disorders	4507	D011644
522	Corneal Diseases	4496	D003316
523	Coma	4487	D003128
524	Angina, Unstable	4482	D000789
525	Syncope	4478	D013575
526	Rodent Diseases	4477	D012376
527	Heart Septal Defects, Atrial	4455	D006344
528	Toxoplasmosis	4439	D014123
529	Dizziness	4439	D004244
530	Paraplegia	4428	D010264
531	Papilloma	4425	D010212
532	Dyspnea	4405	D004417
533	Typhoid Fever	4404	D014435
534	Alcoholic Intoxication	4394	D000435
535	Ophthalmoplegia	4385	D009886
536	Duodenal Diseases	4383	D004378
537	Aortic Aneurysm, Abdominal	4381	D017544
538	Antiphospholipid Syndrome	4380	D016736
539	Agranulocytosis	4376	D000380
540	Esophageal Diseases	4357	D004935
541	Pemphigus	4344	D010392
542	Wilms Tumor	4336	D009396
543	Liver Cirrhosis, Biliary	4334	D008105
544	beta-Thalassemia	4333	D017086
545	Chagas Disease	4326	D014355
546	Cicatrix	4321	D002921
547	Dermatitis, Occupational	4307	D009783
548	Pigmentation Disorders	4302	D010859
549	Urinary Bladder Diseases	4284	D001745
550	Urologic Diseases	4277	D014570
551	Lymphoproliferative Disorders	4277	D008232
552	Nerve Degeneration	4258	D009410
553	Sleep Initiation and Maintenance Disorders	4247	D007319
554	Chronic Disease	4245	D002908
555	Epilepsies, Partial	4239	D004828
556	Foot Diseases	4233	D005534
557	Thymus Neoplasms	4227	D013953
558	Renal Insufficiency	4227	D051437
559	Retroperitoneal Neoplasms	4225	D012186
560	Acromegaly	4225	D000172
561	Aphasia	4223	D001037
562	Intracranial Embolism and Thrombosis	4222	D002542
563	Joint Instability	4219	D007593
564	Pregnancy, Ectopic	4204	D011271
565	Autonomic Nervous System Diseases	4200	D001342
566	Carcinoma, Bronchogenic	4197	D002283
567	Eye Injuries	4191	D005131
568	Retinal Degeneration	4162	D012162
569	Nose Neoplasms	4156	D009669
570	Rheumatic Heart Disease	4148	D012214
571	Wounds, Gunshot	4148	D014948
572	Myopia	4137	D009216
573	Osteoarthritis, Knee	4135	D020370
574	Rhinitis, Allergic, Perennial	4130	D012221
575	Porphyrias	4123	D011164
576	Poisoning	4119	
577	Bird Diseases	4116	D001715
578	Anemia, Hypochromic	4105	D000747
579	Spinal Cord Neoplasms	4104	D013120
580	Intestinal Fistula	4104	D007412
581	Myositis	4095	D009220
582	Dystonia	4089	D004421
583	Rhabdomyosarcoma	4086	D012208
584	Bronchial Diseases	4080	D001982
585	Arthritis, Experimental	4063	D001169
586	Neoplasms, Germ Cell and Embryonal	4062	D009373
587	Salivary Gland Neoplasms	4061	D012468
588	Aortic Valve Insufficiency	4057	D001022
589	Cerebellar Neoplasms	4039	D002528
590	Spinal Cord Compression	4036	D013117
591	Brucellosis	4032	D002006
592	Abortion, Spontaneous	4029	D000022
593	Coronary Stenosis	4015	D023921
594	Substance Abuse, Intravenous	4005	D015819
595	Wounds, Penetrating	3985	D014950
596	Speech Disorders	3981	D013064
597	Coronary Vessel Anomalies	3977	D003330
598	Infectious Mononucleosis	3971	D007244
599	Plasmacytoma	3968	D010954
600	Pneumonia, Pneumocystis	3965	D011020
601	Vaccinia	3948	D014615
602	Melanoma, Experimental	3944	D008546
603	Pneumococcal Infections	3939	D011008
604	Rheumatic Fever	3927	D012213
605	Amenorrhea	3927	D000568
606	Obstetric Labor, Premature	3926	D007752
607	Leiomyosarcoma	3924	D007890
608	Embolism	3922	D004617
609	Somatoform Disorders	3900	D013001
610	Hamartoma	3896	D006222
611	Hematologic Neoplasms	3884	D019337
612	Abnormalities, Drug-Induced	3880	D000014
613	Cleft Lip	3879	D002971
614	Aneurysm, False	3872	D017541
615	Turner Syndrome	3862	D014424
616	Rhinitis	3859	D012220
617	Dermatomycoses	3858	D003881
618	Bundle-Branch Block	3849	D002037
619	Hemiplegia	3843	D006429
620	Wegener Granulomatosis	3842	D014890
621	Orbital Neoplasms	3840	D009918
622	Arteriovenous Malformations	3829	D001165
623	Hyponatremia	3818	D007010
624	Leukemia, Promyelocytic, Acute	3813	D015473
625	Fibromyalgia	3812	D005356
626	Abdominal Neoplasms	3810	D000008
627	Dyslexia	3800	D004410
628	Muscular Atrophy	3779	D009133
629	Mandibular Neoplasms	3777	D008339
630	Pregnancy Complications, Hematologic	3775	D011250
631	Hearing Loss	3762	D034381
632	Cervical Intraepithelial Neoplasia	3759	D018290
633	Neuralgia	3748	D009437
634	Multiple Trauma	3745	D009104
635	Nevus, Pigmented	3736	D009508
636	Leishmaniasis, Visceral	3731	D007898
637	Communicable Diseases	3730	D003141
638	Parotid Neoplasms	3730	D010307
639	Hypertension, Renovascular	3729	D006978
640	Pericarditis	3719	D010493
641	Protein-Energy Malnutrition	3717	D011502
642	Gram-Negative Bacterial Infections	3716	D016905
643	Hypogonadism	3716	D007006
644	Optic Nerve Diseases	3710	D009901
645	Phenylketonurias	3701	D010661
646	Intracranial Arteriovenous Malformations	3701	D002538
647	Brain Abscess	3692	D001922
648	Albuminuria	3688	D000419
649	Panic Disorder	3687	D016584
650	Hypoxia, Brain	3682	D002534
651	Sexually Transmitted Diseases	3671	D012749
652	Tibial Fractures	3667	D013978
653	Thyroiditis, Autoimmune	3658	D013967
654	Retinitis Pigmentosa	3644	D012174
655	Gram-Positive Bacterial Infections	3639	D016908
656	Hyperlipoproteinemia Type II	3634	D006938
657	Dyskinesia, Drug-Induced	3633	D004409
658	Fetal Death	3631	D005313
659	Amebiasis	3625	D000562
660	Dermatomyositis	3614	D003882
661	Malabsorption Syndromes	3613	D008286
662	Carcinoma, Intraductal, Noninfiltrating	3609	D002285
663	Spinal Fractures	3608	D016103
664	Tongue Neoplasms	3604	D014062
665	Polyps	3596	D011127
666	Retinoblastoma	3591	D012175
667	Giant Cell Arteritis	3586	D013700
668	Infertility	3581	D007246
669	Splenic Diseases	3581	D013158
670	Graft Occlusion, Vascular	3569	D006083
671	Status Epilepticus	3558	D013226
672	Sexual Dysfunction, Physiological	3554	D012735
673	Lung Diseases, Interstitial	3551	D017563
674	Barrett Esophagus	3547	D001471
675	Vulvar Neoplasms	3544	D014846
676	Skin Diseases, Vesiculobullous	3536	D012872
677	Hyperaldosteronism	3532	D006929
678	Myxoma	3521	D009232
679	Hematuria	3515	D006417
680	Long QT Syndrome	3509	D008133
681	Mycobacterium Infections	3506	D009164
682	Hand Dermatoses	3506	D006229
683	Adenocarcinoma, Mucinous	3502	D002288
684	Measles	3482	D008457
685	Vertigo	3479	D014717
686	Leg Ulcer	3470	D007871
687	Mastitis, Bovine	3455	D008414
688	Histiocytoma	3454	D051642
689	Bronchial Hyperreactivity	3450	D016535
690	Intussusception	3446	D007443
691	Diverticulum	3442	D004240
692	Meningitis, Bacterial	3438	D016920
693	Pregnancy Complications, Neoplastic	3437	D011252
694	Glomerulonephritis, IGA	3432	D005922
695	Histiocytoma, Benign Fibrous	3428	D018219
696	Lymphedema	3427	D008209
697	Amino Acid Metabolism, Inborn Errors	3427	D000592
698	Gallbladder Neoplasms	3425	D005706
699	Bradycardia	3416	D001919
700	Femoral Fractures	3413	D005264
701	Obstetric Labor Complications	3408	D007744
702	Alopecia	3399	D000505
703	Jaundice	3385	D007565
704	Enterocolitis, Pseudomembranous	3384	D004761
705	Keratitis	3380	D007634
706	Thymoma	3373	D013945
707	Purpura, Thrombocytopenic	3367	D011696
708	Tremor	3366	D014202
709	Hydronephrosis	3364	D006869
710	Death, Sudden	3352	D003645
711	Facial Dermatoses	3348	D005148
